Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"Hydrogéno-5-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de sodium",,73398-45-5,277-443-3,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"hydrogéno-5-[[4'-[(8-amino-1-hydroxy-3,6-disulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylate de disodium",,93964-58-0,300-904-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Hydrogéno-5-[[4'-[[8-[[2,4-dihydroxy-3-[(2-méthoxy-5-sulfonatophényl)azo]phényl]azo]-1-hydroxy-3,6-disulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylate de trisodium",,93964-62-6,300-907-4,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"Hydrogéno-5-[[4'-[[8-amino-1-hydroxy-7-[(4-nitrophényl)azo]-3,6-disulfonato-2-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,59620-58-5,261-827-2,611-024-00-1,,,30315,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"hydrogéno-5-amino-3-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonate de disodium",,68214-82-4,269-321-3,611-024-00-1,,,22590,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
Hydrogénoarsénate de plomb,,7784-40-9,,082-011-00-0,,"20,20 BIS",,C1A,,,,R1A,H360Df,,
Hydrogénoborate de dibutylétain,,75113-37-0,,005-006-00-7,1ère corr,,,,,M2,,R1B,H360FD,,
Hydrogénocitrate de nickel (II),,18721-51-2,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Hydrogénophosphate de nickel,,14332-34-4,,028-032-00-0,1ère,,,C1A,H350i,,,,,,
"Hydrogénosulfate d'éthyle, sel de nickel (II)",,71720-48-4,,028-053-00-5,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Hydrogénosulfate d'hydroxylammonium,,10046-00-1,,612-237-00-2,1ère corr,,,C2,,,,,,,
Hydroperoxyde de tert-butyle,,75-91-2,,617-023-00-2,9ème,,,,,M2,,,,,
Hydroquinone,"1,4-dihydroxybenzène , quinol",123-31-9,,604-005-00-4,1ère,,,C2,,M2,,,,,
Hydroxybis[orthosilicato(4-)]trinickelate(3-) de trihydrogène,,12519-85-6,,028-036-00-2,1ère,,,C1A,H350i,,,,,,
Hydroxyde de cadmium,,21041-95-2,,048-013-00-0,10ème,,,C1B,,M1B,,,,,
Hydroxyde de fentine (ISO),hydroxyde de triphénylétain,76-87-9,,050-004-00-1,1ère,,,C2,,,,R2,H361d,,
Hydroxyde de nickel,,11113-74-9,,028-008-00-X,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Hydroxylamine ...% (> 55% en solution aqueuse),,7803-49-8,,612-122-00-7,1ère,,,C2,,,,,,,
Hydroxylamine ...% (≤ 55% en solution aqueuse),,7803-49-8,,612-122-01-4,1ère,,,C2,,,,,,,
Hymexazol (ISO),3-hydroxy-5-méthylisoxazole,10004-44-1,,613-115-00-1,15ème,,,,,,,R2,H361d,,
Imazalil (ISO),,35554-44-0,,613-042-00-5,7ème,,,C2,,,,,,,
Imazamox (ISO),acide (RS)-2-(4-isopropyl-4-méthyl-5-oxo-2-imidazolin-2-yl)-5-méthoxyméthylnicottinique,114311-32-9,,613-208-00-7,17ème,,,,,,,R2,H361d,,
Imidazole,,288-32-4,,613-319-00-0,7ème,,,,,,,R1B,H360D,,
Imiprothrine (ISO),"masse de réaction de : [2,4-dioxo-(2-propyn-1-yl)imidazolidin-3-yl]méthyl(1R)-cis-chrysanthémate , [2,4-dioxo-(2-propyn-1-yl)imidazolidin-3-yl]méthyl(1R)-trans-chrysanthémate",72963-72-5,,613-259-00-5,15ème,,,C2,,,,,,,
Iodure de (6R-trans)-1-((7-ammonio-2-carboxylato-8-oxo-5-thia-1-azabicyclo-[4.2.0]oct-2-ène-3-yle)méthyl)pyridinium,,100988-63-4,,613-162-00-8,1ère,,,,,M2,,,,,
Iodure de cadmium,,7790-80-9,,048-007-00-8,,61,,C2,,,,,,,
Iodure de méthyle,iodométhane,74-88-4,,602-005-00-9,,,,C2,,,,,,,
Ioxynil (ISO),"4-hydroxy-3,5-diiodobenzonitrile",1689-83-4,,608-007-00-6,,,,,,,,R2,H361d,,
Ioxynil octanoate (ISO),"octanoate de 4-cyano-2,6-diiodophényle",3861-47-0,,608-018-00-6,,,,,,,,R2,H361d,,
Ipconazole (ISO),"(1RS,2SR,5RS,1RS,2SR,5SR)-2-(4-chlorobenzyl)-5-isopropyl-1-(1H-1,2,4-triazol-1-ylméthyl)cyclopentanol","115850-69-6,115937-89-8,125225-28-7",,603-237-00-3,15ème,,,,,,,R1B,H360D,,
Iprodione (ISO),"3-(3,5-dichlorophényl)-2,4-dioxo-N-isopropylimidazolidine-1-carboxamide",36734-19-7,,616-054-00-9,,,,C2,,,,,,,
Iprovalicarbe (ISO),[(2S)-3-méthyl-1-{[1-(4-méthylphényl)éthyl]amino}-1-oxobutan-2-yl]carbamate d'isopropyle,140923-17-7,,616-232-00-6,15ème,,,C2,,,,,,,
"Isobutane (contenant ≥ 0,1 % butadiène (203-450-8))",,75-28-5,,601-004-01-8,,,,C1A,,M1B,,,,,
Isocyanate de méthyle,,624-83-9,,615-001-00-7,1ère,,,,,,,R2,H361d,,
Isocyanate de o-(p-isocyanatobenzyl)phényle,"2,4'-diisocyanate de diphénylméthane",5873-54-1,,615-005-00-9,1ère,,,C2,,,,,,,
Isodécanoate de nickel (II),,85508-43-6,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Isooctanoate de nickel,,27637-46-3,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Isooctanoate de nickel (II),,29317-63-3,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Isoprène (stabilisé),"2-méthyl-1,3-butadiène",78-79-5,,601-014-00-5,,,,C1B,,M2,,,,,
Isoproturon (ISO),"3-(4-isopropylphényl)-1,1-diméthylurée",34123-59-6,,006-044-00-7,12ème,,,C2,,,,,,,
Isoxaflutole (ISO),(5-cyclopropyl-4-isoxazolyl)(2-(méthylsulfonyl)-4-(trifluorométhyl)phenyl)méthanone,141112-29-0,,606-054-00-7,7ème,,,,,,,R2,H361d,,
Jaune de sulfochromate de plomb,C.I Pigment Yellow 34,1344-37-2,,082-009-00-X,1ère,,,C1B,,,,R1A,H360Df,,
Kétoconazole,"1-[4-[4-[[(2SR,4RS)-2-(2,4-dichlorophényl)-2-(imidazol-1-ylméthyl)-1,3-dioxolan-4-yl]méthoxy]phényl]pipérazin-1-yl]éthanone",65277-42-1,,613-283-00-6,1ère,,,,,,,R1B,H360F,,
Krésoxim-méthyl (ISO),(E)-2-méthoxyimino-2[2-(o-tolyloxyméthyl)phényl]acétate de méthyle,143390-89-0,,607-310-00-0,,,,C2,,,,,,,
Laine minérale à l'exception de celles spécifiées ailleurs dans cette base,,,,650-016-00-2,1ère,,,C2,,,,,,,
Lenacil (ISO),,2164-08-1,,613-320-00-6,7ème,,,C2,,,,,,,
"Ligroïne, Naphta à point d'ébullition bas",,8032-32-4,,649-263-00-9,,,,C1B,,M1B,,,,,
Linuron (ISO),"3-(3,4-dichlorophényl)-1-méthoxy-1-méthylurée",330-55-2,,006-021-00-1,,,,C2,,,,R1B,H360Df,,
Mancozebe (ISO),complexe (polymérisé) d'éthylène-bis (dithiocarbamate) de manganèse avec sel de zinc,8018-01-7,,006-076-00-1,17ème,,,C2,,,,R1B,H360D,,"Dans la 17ème ATP, ajout de la classification C2 et passage de R2 à R1B"
Manebe (ISO),éthylène-bis(dithiocarbamate) de manganèse (polymérisé),12427-38-2,,006-077-00-7,1ère,,,,,,,R2,H361d,,
Margosa [obtenu à partir des amandes d'Azadirachta indica extrait avec de l'eau et transformé au moyen de solvants organiques],,84696-25-3,,650-058-00-1,18ème,,,,,,,R2,H361d,,
"Masse réactionnelle du 3-(difluorométhyl)-1-méthyl-N-[(1RS,4SR,9RS)-2,3,4-tétrahydro-9-isopropyl-1,4-méthanonaphtalén-5-yl]pyrazole-4-carboxamide] et 3-(difluorométhyl)-1-méthyl-N-[(1RS,4SR,9SR)-1,2,3,4-tétrahydro-9-isopropyl-1,4-méthanonaphtalèn-5-yl]pyrazole-4-carboxamide [teneur relative ≥ 78% isomères syn ≤ 15% isomères anti]",isopyrazam,881685-58-1,,616-240-00-X,18ème,,,C2,,,,R1B,H360D,,
Matte de nickel,,69012-50-6,,028-013-00-7,1ère,,,C1A,H350i,,,,,,
"m-bis(2,3-époxypropoxy)benzène",éther diglycidylique du résorcinol,101-90-6,,603-065-00-9,15ème,,,C1B,,M2,,,,,"Dans la 15ème ATP, passage de la classification C2 à C1B"
"Mélange (2:1) de : tris(6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonate de 4-(7-hydroxy-2,4,4-triméthyl-2-chromanyl)résorcinol-4-yle, bis-(6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonate de 4-(7-hydroxy-2,4,4-triméthyl-2-chromanyl)résorcinol",,140698-96-0,,016-093-00-6,,,,C2,,,,,,,
"Mélange de : (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de diméthyle, (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de diéthyle, (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de méthyle",,,,015-196-00-3,1ère,,,C1B,,M1B,,,,,
"Mélange de : 1,3,5-tris(3-aminométhylphényl)-1,3,5-(1H,3H,5H)-triazine-2,4,6-trione, mélange d'oligomères de 3,5-bis(3-aminométhylphényl)-1-poly[3,5-bis(3-aminométhylphényl)-2,4,6-trioxo-1,3,5-(1H,3H,5H)triazin-1-yl]-1,3,5-(1H,3H,5H)triazine-2,4,6-trione",,,,613-199-00-X,,,,C1B,,,,R1B,H360D,,
"Mélange de : 4-(3-éthoxycarbonyl-4-(5-(3-éthoxycarbonyl-5-hydroxy-1-(4-sulfonatophényl)pyrazol-4-yl)penta-2,4-diénylidène)-4,5-dihydro-5-oxopyrazol-1-yl)benzènesulfonate de disodium, 4-(3-éthoxycarbonyl-4-(5-(3-éthoxycarbonyl-5-oxydo-1-(4-sulfonatophényl)pyrazol-4-yl)penta-2,4-diénylidène)-4,5-dihydro-5-oxopyrazol-1-yl)benzènesulfonate de trisodium",,,,607-487-00-4,,,,,,,,R1B,H360D,,
"Mélange de : 4-[[bis-(4-fluorophényl)méthylsilyl]méthyl]-4H-1,2,4-triazole, 1-[[bis-(4-fluorophényl)méthylsilyl]méthyl]-1H-1,2,4-triazole",,,,014-019-00-7,,,,C2,,,,R1B,H360D,,
"Mélange de : 4-allyl-2,6-bis(2,3-époxypropyl)phénol, 4-allyl-6-[3-[6-[3-[6-[3-(4-allyl-2,6-bis(2,3-époxypropyl)phénoxy)-2-hydroxypropyl]-4-allyl-2-(2,3-époxypropyl)phénoxy]-2-hydroxypropyl]-4-allyl-2-(2,3-époxypropyl)phénoxy]-2-hydroxypropyl]-2-(2,3-époxypropyl)phénol, 4-allyl-6-[3-(4-allyl-2,6-bis(2,3-époxypropyl)phénoxy)-2-hydroxypropyl]-2-(2,3-époxypropyl)phénol, 4-allyl-6-[3-[6-[3-(4-allyl-2,6-bis(2,3-époxypropyl)phénoxy)-2-hydroxypropyl]-4-allyl-2-(2,3-époxypropyl)phénoxy]-2-hydroxypropyl]-2-(2,3-époxypropyl)phénol",,,,603-165-00-2,,,,,,M2,,,,,
"Mélange de : acide 5-[(4-[(7-amino-1-hydroxy-3-sulfo-2-naphtyl)azo]-2,5-diéthoxyphényl)azo]-2-[(3-phosphonophényl)azo]benzoïque, acide 5-[(4-[(7-amino-1-hydroxy-3-sulfo-2-naphtyl)azo]-2,5-diéthoxyphényl)azo]-3-[(3-phosphonophényl)azo]benzoïque",,163879-69-4,,611-129-00-2,,,,,,,,R2,H361f,,
"Mélange de : N-[3-hydroxy-2-(2-méthylacryloylamino-méthoxy)propoxyméthyl]-2-méthylacrylamide, N-[2,3-bis(2-méthylacryloylaminométhoxy)propoxyméthyl]-2-méthylacrylamide, méthacrylamide, 2-méthyl-N-(2-méthylacryloylaminométhoxyméthyl)acrylamide, N-(2,3-dihydroxypropoxyméthyl)-2-méthylacrylamide",,,,616-057-00-5,,,,C1B,,M2,,,,,
Mélange de 1-[2-(2- aminobutoxy)éthoxy]but-2-ylamine et de 1-({[2-(2-aminobutoxy)éthoxy]méthyl}propoxy)but-2-ylamine,,,,612-293-00-8,12ème,,,,,,,R2,H361f,,
"Mélange de salicylates de calcium (alkyles avec C10- 14 et C18- 30 ramifiés), de phénates de calcium (alkyles avec C10- 14 et C18- 30 ramifiés) et de phénates de calcium sulfurés (alkyles avec C10-14 et C18-30 ramifiés)",,,,607-397-00-5,1ère,,,,,,,R2,H361f,,
"Mélange de: 2,2'-[(3,3'-dichloro[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[N-(2,4-diméthylphényl)]-3-oxo-butanamide 2-[[3,3'-dichloro-4'-[[1[[(2,4-diméthylphényl)amino]carbonyl]-2-oxopropyl]azo][1,1'-biphényl]-4-yl]azo]-N-(2-méthylphényl)-3-oxo-butanamide 2-[[3,3'-dichloro-4'-[[1[[(2,4-diméthylphényl)amino]carbonyl]-2-oxopropyl]azo][1,1'-biphényl]-4-yl]azo]-N-(2-carboxylphényl)-3-oxo-butanamide",,,,616-202-00-2,1ère,,,C2,,,,,,,
"Mélange de: 4,7-bis(mercaptométhyl)-3,6,9-trithia-1,11-undécanedithiol,  4,8-bis(mercaptométhyle)-3,6,9-trithia-1,11-undécanedithiol, 5,7-bis(mercaptométhyle)-3,6,9-trithia-1,11-undécanedithiol",,,,016-092-00-0,1ère corr,,,,,,,R2,H361f,,
"Mélange de: 6-amino-3-((2,5-diéthoxy-4-(3-phosphonophényl)azo)phényl)azo-4-hydroxy-2-naphtalènesulfonate de triammonium et de 3-((4-((7-amino-1-hydroxy-3-sulfo-naphtalène-2-yl)azo)-2,5-diéthoxyphényl)azo)benzoate de diammonium",,,,611-172-00-7,1ère,,,,,,,R2,H361f,,
"Mélange de: diester de 4,4'-méthylènebis[2-(2-hydroxy-5-méthylbenzyl)-3,6-diméthylphénol] et acide 6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonique (1:2) et de triester de 4,4'-méthylènebis[2-(2-hydroxy-5-méthylbenzyl)-3,6-diméthylphénol] et acide 6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonique (1:3)",,,,607-491-00-6,1ère,,,C2,,,,,,,
"Mélange de: produit de réaction de 4,4'-méthylènebis[2-(4-hydroxybenzyl)-3,6-diméthylphénol] et de l'acide 6-diazo-5,6-dihydro-5-oxonaphtalènesulfonique (1:2), produit de réaction de 4,4'-méthylènebis[2-(4-hydroxybenzyl)-3,6-diméthylphénol] et de l'acide 6-diazo-5,6-dihydro-5-oxonaphtalènesulfonique (1:3)",,,,016-095-00-7,,,,C2,,,,,,,
Mépanipyrim,4-méthyl-N-phényl-6-(1-propynyl)-2-pyrimidinamine,110235-47-7,,612-229-00-9,1ère,,,C2,,,,,,,
Mercure,,7439-97-6,,080-001-00-0,1ère,,,,,,,R1B,H360D,,
Mésotrione (ISO),"2-[4-(méthylsulfonyl)-2-nitrobenzoyl]-1,3-cyclohexanedione",104206-82-8,,609-064-00-X,15ème,,,,,,,R2,H361d,,
Métaflumizone (ISO),"(EZ)-2'-[2-(4-cyanophényle)-1-(α,α,α-trifluoro-m-tolyl)éthylidène]-[4-(trifluorométhoxy)phényle]carbanilohydrazide [isomère E?90%, isomère Z?10% en contenu relatif] [1] (E)-2'-[2-(4-cyanophényle)-1-(?,?,?-trifluoro-m-tolyl)éthylidène]-[4-trifluorométhoxy)phényl]carbanilohydrazide [2]","139968-49-3,852403-68-0",,616-227-00-9,14ème,,,,,,,R2,H361fd,,CAS: 139968-49-3 correspond au nom [1]  et CAS: 852403-68-0 correspond au nom [2]
Métaldéhyde (ISO),"2,4,6,8-tétraméthyl-1,3,5,7-tétraoxacyclooctane",108-62-3,,605-005-00-7,14ème,,,,,,,R2,H361f,,
Metazachlor (ISO),"2-chloro-N-(2,6-diméthylphényl)-N-(1H-pyrazol-1-ylméthyl)acétamide",67129-08-2,,616-205-00-9,3ème,,,C2,,,,,,,
Metconazole (ISO),"(1RS,5RS , 1RS,5SR)-5-(4-chlorobenzyl)-2,2-diméthyl-1-(1H-1,2,4-triazol-1-ylméthyl)cyclopentanol",125116-23-6,,613-284-00-1,1ère,,,,,,,R2,H361d,,
"Méthacrylate de 2,3-époxypropyle",méthacrylate de glycidyle,106-91-2,,607-123-00-4,10ème,,,C1B,,M2,,R1B,H360F,,
Méthanesulfonate de plomb,,17570-76-2,,082-008-00-4,,,,,,,,R1A,H360Df,,
Méthylhydrazine,,60-34-4,,612-292-00-2,10ème,,,C1B,,,,,,,
Métosulame (ISO),,139528-85-1,,616-214-00-8,7ème,,,C2,,,,,,,
"Microfibres de verre de composition représentative, [fibres de silicate-calcium-aluminium à orientation aléatoire, ayant la composition suivante (en pourcentage massique): SiO2 55,0-60,0 %, Al2O3 4,0-7,0 %, B2O3 8,0-11,0 %, ZrO2 0,0-4,0 %, Na2O 9,5-13,5 %, K2O 0,0-4,0 %, CaO 1,0-5,0 %, MgO 0,0- 2,0 %, Fe2O3 < 0,2 %, ZnO 2,0-5,0 %, BaO 3,0-6,0 %, F2 < 1,0 %. Procédés de fabrication: généralement obtenues par étirage à la flamme et par rotation.(d'autres éléments peuvent être présents à faible teneur, la liste des procédés n'exclut pas l'innovation)]",,,,014-047-00-X,9ème,,,C2,,,,,,,
"Microfibres de verre de composition représentative, [fibres de silicate-calcium-aluminium à orientation aléatoire, selon la composition suivante (en pourcentage massique): SiO2 50,0- 56,0 %, Al2O3 13,0- 16,0 %, B2O3 5,8- 10,0 %, Na2O < 0,6 %, K2O < 0,4 %, CaO 15,0-24,0 %, MgO < 5,5 %, Fe2O3 < 0,5 %, F2 < 1,0 %. Procédés de fabrication: généralement obtenues par étirage à la flamme et par rotation (d'autres éléments peuvent être présents à faible teneur, la liste des procédés n'exclut pas l'innovation]",,,,014-046-00-4,9ème,,,C1B,H350i,,,,,,
Millérite,,1314-04-1,,028-006-00-9,1ère,,,C1A,H350i,M2,,,,,
Molinate (ISO),1-perhydroazépinecarbothioate de S-éthyle,2212-67-1,,613-051-00-4,,,,C2,,,,R2,H361f,,
Monoacétate de chrysoïdine,"monoacétate de 4-(phénylazo)benzène-1,3-diamine",75660-25-2,,611-152-00-8,1ère,,,,,M2,,,,,
Monochlorhydrate de chrysoïdine,"monochlorhydrate-de-4-phénylazophénylène-1,3-diamine",532-82-1,,611-152-00-8,1ère,,,,,M2,,,,,
Monochlorhydrate de trans-4-cyclohexyl-L-proline,,90657-55-9,,607-377-00-6,,,,,,,,R2,H361f,,
Monocrotophos (ISO),phosphate de diméthyle et de cis-1-méthyl-2-(N-méthylcarbamoyl)vinyle,6923-22-4,,015-072-00-9,,,,,,M2,,,,,
"Monohydrate de (-)-(1R,2S)-(1,2-époxypropyl)phosphonate de (R)-α-phényléthylammonium",,25383-07-7,,015-178-00-5,,,,,,,,R2,H361f,,
Monoxyde de carbone,,630-08-0,,006-001-00-2,,,,,,,,R1A,H360D,,
Monoxyde de nickel,oxyde de nickel (II),1313-99-1,,028-003-00-2,1ère,,,C1A,H350i,,,,,,
Monuron (ISO),"3-(4-chlorophényl)-1,1-diméthylurée",150-68-5,,006-042-00-6,,,,C2,,,,,,,
m-phénylènediamine,,108-45-2,,612-147-00-3,,,,,,M2,,,,,
"m-phénylènediamine, dichlorhydrate",,541-69-5,,612-148-00-9,,,,,,M2,,,,,
Myclobutanil (ISO),"2-p-chlorophényl-2-(1H-1,2,4-triazol-1-ylméthyl)hexanenitrile",88671-89-0,,613-134-00-5,,,,,,,,R2,H361d,,
N-(5-chloro-2-isopropylbenzyl)-N-cyclopropyl-3-(difluorométhyl)-5-fluoro-1-méthyl-1H-pyrazole-4-carboxamide,isoflucyprame,1255734-28-1,,616-239-00-4,18ème,,,,,,,R2,H361f,,
N-(hydroxyméthyl)acrylamide,"méthylolacrylamide , [NMA]",924-42-5,,616-230-00-5,15ème,,,C1B,,M1B,,,,,
"N-(hydroxyméthyl)glycinate de sodium  ,  [formaldéhyde libéré par le N-(hydroxyméthyl)glycinate de sodium]",,70161-44-3,,607-746-00-1,15ème,43 BIS,,C1B,,M2,,,,,
N-(isopropoxycarbonyl)-L-valyl-(3RS)-3-(4-chlorophényl)-β-alaninate de méthyle,valifénalate,283159-90-0,,607-762-00-9,18ème,,,C2,,,,,,,
"N,N,N',N'-tétraglycidyl-4,4'-diamino-3,3'-diéthyldiphénylméthane",,130728-76-6,,612-171-00-4,,,,,,M2,,,,,
"N,N,N',N'-tétraméthyl-4,4'-benzylidènedianiline",leucomalachite vert,129-73-7,,612-281-00-2,3ème,,,C2,,M2,,,,,
"N,N,N',N'-tétraméthyl-4,4'-méthylènedianiline",,101-61-1,,612-201-00-6,,,,C1B,,,,,,,
"N,N',N''-tris(2-méthyl-2,3-époxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine",,26157-73-3,,613-292-00-5,1ère,,,,,M2,,,,,
"N,N'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bisazo]bis[N-méthylaminoacétate] de disodium",,85098-84-6,285-437-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"N,N'-diacétylbenzidine",,613-35-4,,612-044-00-3,1ère,,,C1B,,M2,,,,,
"N,N'-dihexadécyl-N,N'-bis(2-hydroxyéthyl)propanediamide",,149591-38-8,,616-143-00-2,,,,,,,,R2,H361f,,
"N,N-diméthylacétamide",,127-19-5,,616-011-00-4,9ème,,,,,,,R1B,H360D,,
"N,N-diméthylaniline",,121-69-7,,612-016-00-0,,,,C2,,,,,,,
"N,N-diméthylformamide",,68-12-2,,616-001-00-X,,,,,,,,R1B,H360D,,
"N,N-diméthylhydrazine",,57-14-7,,007-012-00-5,,,,C1B,,,,,,,
"N,N'-méthylènedimorpholine [formaldéhyde libéré par la N,N'-méthylènebismorpholine] [MBM]",,5625-90-1,,607-721-00-5,10ème,,,C1B,,M2,,,,,
N-[2-(3-acétyl-5-nitrothiophén-2-ylazo)-5-diéthylaminophényl]acétamide,,777891-21-1,,616-117-00-0,,,,,,,,R2,H361f,,
"N-[6,9-dihydro-9-[[2-hydroxy-1-(hydroxyméthyl)éthoxy]méthyl]-6-oxo-1H-purin-2-yle] acétamide",,84245-12-5,,616-148-00-X,1ère,,,C1B,,M1B,,R1B,H360FD,,
"N-{2-[[1,1'-bi(cyclopropyl)]-2-yl]phényl}-3-(difluorométhyl)-1-méthyl-1H-pyrazole-4-carboxamide",sédaxane,874967-67-6,,616-235-00-2,17ème,,,C2,,,,,,,
"Naphta (charbon), résidus de distillation, Distillat d'huile légère, haut point d'ébullition",,90641-12-6,,648-009-00-4,,,,C1B,,M1B,,,,,
"Naphta (pétrole), adouci, Naphta à point d'ébullition bas - non spécifié",,64741-87-3,,649-350-00-1,,,,C1B,,M1B,,,,,
"Naphta (pétrole), alkylation en C4-12 de butane, riche en isooctane, Naphta modifié à point d'ébullition bas",,92045-49-3,,649-284-00-3,,,,C1B,,M1B,,,,,
"Naphta (pétrole), déparaffinage catalytique, Naphta à point d'ébullition bas - non spécifié",,64742-66-1,,649-354-00-3,,,,C1B,,M1B,,,,,
"Naphta (pétrole), isomérisation, fraction en C6, Naphta modifié à point d'ébullition bas",,92045-58-4,,649-286-00-4,,,,C1B,,M1B,,,,,
"Naphta (pétrole), isomérisation, Naphta modifié à point d'ébullition bas",,64741-70-4,,649-277-00-5,,,,C1B,,M1B,,,,,
"Naphta (pétrole), renfermant des aromatiques, Naphta à point d'ébullition bas - non spécifié",,68603-08-7,,649-372-00-1,,,,C1B,,M1B,,,,,
"Naphta (pétrole), traité à l'acide, naphta à point d'ébullition bas - non spécifié",,64742-15-0,,649-351-00-7,,,,C1B,,M1B,,,,,
"Naphta à large intervalle de distillation (pétrole), hydrodésulfuré, Naphta hydrotraité à point d'ébullition bas",,92045-52-8,,649-338-00-6,,,,C1B,,M1B,,,,,
"Naphta à large intervalle d'ébullition (pétrole), alkylation, Naphta modifié à point d'ébullition bas",,64741-64-6,,649-274-00-9,,,,C1B,,M1B,,,,,
"Naphta à large intervalle d'ébullition (pétrole), distillation directe, Naphtha à point d'ébullition bas",,64741-42-0,,649-265-00-X,,,,C1B,,M1B,,,,,
"Naphta aromatique léger de vapocraquage (pétrole), Naphta à point d'ébullition bas - non spécifié",,68527-23-1,,649-370-00-0,,,,C1B,,M1B,,,,,
"Naphta d'alkylation à large intervalle d'ébullition (pétrole), contenant du butane, Naphta modifié à point d'ébullition bas",,68527-27-5,,649-282-00-2,,,,C1B,,M1B,,,,,
"Naphta de cokéfaction (pétrole), large intervalle d'ébullition, Naphta à point d'ébullition bas - non spécifié",,68513-02-0,,649-366-00-9,,,,C1B,,M1B,,,,,
"Naphta de cokéfaction à large intervalle d'ébullition (pétrole), hydrodésulfuré, Naphta à point d'ébullition bas - non spécifié",,101316-76-1,,649-396-00-2,,,,C1B,,M1B,,,,,
"Naphta de distillation directe à large intervalle d'ébullition (pétrole), traité à la terre, Naphta à point d'ébullition bas - non spécifié",,68527-21-9,,649-368-00-X,,,,C1B,,M1B,,,,,
"Naphta de reformage (pétrole), large intervalle de distillation, Naphta de reformage catalytique à point d'ébullition bas",,68919-37-9,,649-307-00-7,,,,C1B,,M1B,,,,,
"Naphta de reformage catalytique (pétrole), Naphta de reformage catalytique à point d'ébullition bas",,68955-35-1,,649-308-00-2,,,,C1B,,M1B,,,,,
"Naphta d'hydrocraquage (charbon), extraction au solvant",,94114-54-2,,648-150-00-1,,,,C1B,,M1B,,,,,
"Naphta distillé léger (pétrole), craquage catalytique, Naphta de craquage catalytique à point d'ébullition bas",,68783-09-5,,649-292-00-7,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), alkylation, Naphta modifié à point d'ébullition bas",,64741-66-8,,649-276-00-X,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), craquage catalytique, Naphta de craquage catalytique à point d'ébullition bas",,64741-55-5,,649-290-00-6,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), craquage thermique, hydrodésulfuration, Naphta hydrotraité à point d'ébullition bas",,85116-60-5,,649-335-00-X,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), craquage thermique, Naphta de craquage thermique à point d'ébullition bas",,64741-74-8,,649-316-00-6,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), distillation directe, Naphta à point d'ébullition bas",,64741-46-4,,649-266-00-5,,,,C1B,,M1B,,,,,
"Naphta léger (pétrole), hydrocraquage, Naphta à point d'ébullition bas - non spécifié",,64741-69-1,,649-348-00-0,,,,C1B,,M1B,,,,,
