Nom chimique/DCI,Numéro CAS,Numéro CE
"Naphta lourd (pétrole), raffiné au solvant, hydrodésulfuré, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97488-96-5,307-035-3
"Hydrocarbures en C16-20, distillat moyen hydrotraité, fraction légère de distillation, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97675- 85-9,307-659-6
"Hydrocarbures en C12-20 paraffiniques hydrotraités, fraction légère de distillation, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97675-86-0,307-660-1
"Hydrocarbures en C11-17 naphténiques légers, extraction au solvant, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97722-08-02,307-757-9
"Gazoles hydrotraités, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97862-78-7,308-128-1
"Distillats paraffiniques légers (pétrole), traités au charbon, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",100683-97-4,309-667-5
"Distillats paraffiniques intermédiaires (pétrole), traités au charbon, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",100683-98-5,309-668-0
"Distillats paraffiniques intermédiaires (pétrole), traités à la terre, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",100683-99-6,309-669-6
"Graisses lubrifiantes, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",74869-21-9,278-011-7
"Gatsch (pétrole), sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-61-6,265-165-5
"Gatsch (pétrole), traité à l'acide, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",90669-77-5,292-659-8
"Gatsch (pétrole), traité à la terre, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",90669-78-6,292-660-3
"Gatsch (pétrole), hydrotraité, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",92062-09-04,295-523-6
"Gatsch à bas point de fusion (pétrole), sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",92062-10-7,295-524-1
"Gatsch à bas point de fusion (pétrole), hydrotraité, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",92062-11-8,295-525-7
"Gatsch (pétrole), à bas point de fusion, traité au charbon, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97863-04-02,308-155-9
"Gatsch (pétrole), à bas point de fusion, traité à la terre, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97863-05-03,308-156-4
"Gatsch (pétrole), à bas point de fusion, traité à l'acide silicique, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97863-06-04,308-158-5
"Gatsch (pétrole), traité au charbon, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",100684-49-9,309-723-9
"Pétrolatum, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",8009-03-08,232-373-2
"Pétrolatum oxydé (pétrole), sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64743-01-07,265-206-7
"Pétrolatum (pétrole), traité à l'alumine, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",85029-74-9,285-098-5
"Pétrolatum (pétrole), hydrotraité, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",92045-77-7,295-459-9
"Pétrolatum (pétrole), traité au charbon, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97862-97-0,308-149-6
"Pétrolatum (pétrole), traité à l'acide silicique, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",97862-98-1,308-150-1
"Pétrolatum (pétrole), traité à la terre, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",100684-33-1,309-706-6
"Distillats légers (pétrole), craquage catalytique",64741-59-9,265-060-4
"Distillats intermédiaires (pétrole), craquage catalytique",64741-60-2,265-062-5
"Distillats légers (pétrole), craquage thermique",64741-82-8,265-084-5
"Distillats légers (pétrole), craquage catalytique, hydrodésulfuration",68333-25-5,269-781-5
"Distillats (pétrole), naphta léger de vapocraquage",68475-80-9,270-662-5
"Distillats (pétrole), distillats pétroliers, vapocraquage puis craquage",68477-38-3,270-727-8
Gazoles de vapocraquage (pétrole),68527-18-4,271-260-2
"Distillats moyens (pétrole), craquage thermique, hydrodésulfuration",85116-53-6,285-505-6
"Gasoil (pétrole), craquage thermique, hydrodésulfurisé",92045-29-9,295-411-7
"Résidus (pétrole), naphta de vapocraquage hydrogéné",92062-00-5,295-514-7
"Résidus de distillation (pétrole), vapocraquage de naphta",92062-04-09,295-517-3
"Distillats légers (pétrole), craquage catalytique, dégradation thermique",92201-60-0,295-991-1
"Résidus (pétrole), naphta de vapocraquage, maturation",93763-85-0,297-905-8
"Gazoles légers sous vide (pétrole), hydrodésulfuration et craquage thermique",97926-59-5,308-278-8
"Distillats moyens de cokéfaction (pétrole), hydrodésulfurés",101316-59-0,309-865-1
"Distillats lourds (pétrole), vapocraquage",101631-14-5,309-939-3
"Résidus (pétrole), tour atmosphérique",64741-45-3,265-045-2
"Gazoles lourds (pétrole), distillation sous vide",64741-57-7,265-058-3
"Distillats lourds (pétrole), craquage catalytique",64741-61-3,265-063-0
"Huiles clarifiées (pétrole), craquage catalytique",64741-62-4,265-064-6
"Résidus de fractionnement (pétrole), reformage catalytique",64741-67-9,265-069-3
"Résidus (pétrole), hydrocraquage",64741-75-9,265-076-1
"Résidus (pétrole), craquage thermique",64741-80-6,265-081-9
"Distillats lourds (pétrole), craquage thermique",64741-81-7,265-082-4
"Gazoles sous vide (pétrole), hydrotraités",64742-59-2,265-162-9
"Résidus de tour atmosphérique (pétrole), hydrodésulfurés",64742-78-5,265-181-2
"Gazoles lourds sous vide (pétrole), hydrodésulfurés",64742-86-5,265-189-6
"Résidus (pétrole), vapocraquage",64742-90-1,265-193-8
Résidus de distillation atmosphérique (pétrole),68333-22-2,269-777-3
"Huiles clarifiées (pétrole), craquage catalytique, hydrodésulfuration",68333-26-6,269-782-0
"Distillats intermédiaires (pétrole), craquage catalytique, hydrodésulfuration",68333-27-7,269-783-6
"Distillats lourds (pétrole), craquage catalytique, hydrodésulfuration",68333-28-8,269-784-1
"Fuel-oil, résidus-gazoles de distillation directe, à haute teneur en soufre",68476-32-4,270-674-0
Fuel-oil résiduel,68476-33-5,270-675-6
"Résidus de distillation (pétrole), résidu de fractionnement du reformage catalytique",68478-13-7,270-792-2
"Résidus (pétrole), gazole lourd de cokéfaction et gazole sous vide",68478-17-1,270-796-4
Résidus lourds de cokéfaction et résidus légers sous vide (pétrole),68512-61-8,270-983-0
Résidus légers sous vide (pétrole),68512-62-9,270-984-6
Résidus légers de vapocraquage (pétrole),68513-69-9,271-013-9
"Fuel-oil, no 6",68553-00-4,271-384-7
"Résidus à basse teneur en soufre (pétrole), unité de fractionnement",68607-30-7,271-763-7
Gazoles atmosphériques lourds (pétrole),68783-08-04,272-184-2
"Résidus de laveur à coke (pétrole), contenant des aromatiques à noyaux condensés",68783-13-1,272-187-9
"Distillats sous vide (pétrole), résidus de pétrole",68955-27-1,273-263-4
Résidus de vapocraquage résineux (pétrole),68955-36-2,273-272-3
Distillats intermédiaires sous vide (pétrole),70592-76-6,274-683-0
Distillats légers sous vide (pétrole),70592-77-7,274-684-6
Distillats sous vide (pétrole),70592-78-8,274-685-1
"Gazoles lourds sous vide (pétrole), cokéfaction, hydrodésulfuration",85117-03-09,285-555-9
"Résidus de vapocraquage (pétrole), distillats",90669-75-3,292-657-7
Résidus légers sous vide (pétrole),90669-76-4,292-658-2
Fuel-oil lourd à haute teneur en soufre,92045-14-2,295-396-7
"Résidus (pétrole), craquage catalytique",92061-97-7,295-511-0
"Distillats intermédiaires (pétrole), craquage catalytique, dégradation thermique",92201-59-7,295-990-6
Huiles résiduelles (pétrole),93821-66-0,298-754-0
"Résidus de vapocraquage, traitement thermique",98219-64-8,308-733-0
"Distillats moyens de cokéfaction (pétrole), hydrodésulfurés",101316-57-8,309-863-0
Distillats paraffiniques légers (pétrole),64741-50-0,265-051-5
Distillats paraffiniques lourds (pétrole),64741-51-1,265-052-0
Distillats naphténiques légers (pétrole),64741-52-2,265-053-6
Distillats naphténiques lourds (pétrole),64741-53-3,265-054-1
"Distillats naphténiques lourds (pétrole), traités à l'acide",64742-18-3,265-117-3
"Distillats naphténiques légers (pétrole), traités à l'acide",64742-19-4,265-118-9
"Distillats paraffiniques lourds (pétrole), traités à l'acide",64742-20-7,265-119-4
"Distillats paraffiniques légers (pétrole), traités à l'acide",64742-21-8,265-121-5
"Distillats paraffiniques lourds (pétrole), neutralisés chimiquement",64742-27-4,265-127-8
"Distillats paraffiniques légers (pétrole), neutralisés chimiquement",64742-28-5,265-128-3
"Distillats naphténiques lourds (pétrole), neutralisés chimiquement",64742-34-3,265-135-1
"Distillats naphténiques légers (pétrole), neutralisés chimiquement",64742-35-4,265-136-7
"Extraits au solvant (pétrole), distillat naphténique léger",64742-03-06,265-102-1
"Extraits au solvant (pétrole), distillat paraffinique lourd",64742-04-07,265-103-7
"Extraits au solvant (pétrole), distillat paraffinique léger",64742-05-08,265-104-2
"Extraits au solvant (pétrole), distillat naphténique lourd",64742-11-6,265-111-0
"Extraits au solvant (pétrole), gazole léger sous vide",91995-78-7,295-341-7
"Hydrocarbures en C26-55, riches en aromatiques",97722-04-08,307-753-7
"3,3′-[[1,1′-Biphényl]-4,4′-diylbis(azo)]bis(4-aminonaphtalène-1-sulfonate) de disodium",573-58-0,209-358-4
"4-Amino-3-[[4′-[(2,4-diaminophényl)azo][1,1′-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",1937-37-7,217-710-3
"3,3′-[[1,1′-Biphényl]-4,4′-diylbis(azo)]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonate] de tétrasodium",2602-46-2,220-012-1
4-o-Tolylazo-o-toluidine,97-56-3,202-591-2
4-Aminoazobenzène,60-09-3,200-453-6
"[5-[[4′-[[2,6-Dihydroxy-3-[(2-hydroxy-5-sulfophényl)azo]phényl]azo][1,1′-biphényl]-4-yl]azo]salicylato(4-)]cuprate(2-) de disodium",16071-86-6,240-221-1
Éther diglycidique du résorcinol,101-90-6,202-987-5
"1,3-Diphénylguanidine",0102-06-07,203-002-1
Époxyde d'heptachlore,1024-57-3,213-831-0
4-Nitrosophénol,104-91-6,203-251-6
Carbendazine,10605-21-7,234-232-0
Oxyde d'allyle et de glycidyle,106-92-3,203-442-4
Chloroacétaldéhyde,107-20-0,203-472-8
Hexane,110-54-3,203-777-6
2-(2-Méthoxyéthoxy)éthanol (diéthylène glycol methyléther; DEGME),111-77-3,203-906-6
"(+/–)-2-(2,4-Dichlorophényl)-3-(1H-1,2,4-triazol-1-yl)propyl-1,1,2,2-tétrafluoroéthyléther (tétraconazole - ISO)",112281-77-3,407-760-6
"4-[4-(1,3-Dihydroxyprop-2-yl)phénylamino]-1,8-dihydroxy-5-nitroanthraquinone",114565-66-1,406-057-1
"5,6,12,13-Tétrachloroanthra(2,1,9-def:6,5,10-d'e'f')diisoquinoléine-1,3,8,10(2H,9H)-tétrone",115662-06-1,405-100-1
Phosphate de tris(2-chloroéthyle),115-96-8,204-118-5
4′-Éthoxy-2-benzimidazolanilide,120187-29-3,407-600-5
Dihydroxyde de nickel,12054-48-7,235-008-5
"N,N-Diméthylaniline",121-69-7,204-493-5
Simazine,122-34-9,204-535-2
"Bis(cyclopentadiényl)-bis(2,6-difluoro-3-(pyrrol-1-yl)-phényl)titanium",125051-32-3,412-000-1
"N,N,N′,N′-Tétraglycidyl-4,4′-diamino-3,3′-diethyldiphénylméthane",130728-76-6,410-060-3
Pentaoxyde de divanadium,1314-62-1,215-239-8
Pentachlorophénol et ses sels alcalins,87-86-5/131-52-2/7778-73-6,201-778-6/205-025-2/231-911-3
Phosphamidon,13171-21-6,236-116-5
N-(Trichlorométhylthio)phtalimide (folpet - ISO),0133-07-03,205-088-6
N-2-Naphtylaniline,135-88-6,205-223-9
Zirame,137-30-4,205-288-3
"1-Bromo-3,4,5-trifluorobenzène",138526-69-9,418-480-9
Propazine,139-40-2,205-359-9
"Trichloroacétate de 3-(4-chlorophényl)-1, 1-diméthyluronium; monuron-TCA",140-41-0,006-043-00-1
Isoxaflutole,141112-29-0,606-054-00-7
Krésoxym méthyl,143390-89-0,607-310-00-0
Chlordécone,143-50-0,205-601-3
9-Vinylcarbazole,1484-13-5,216-055-0
Acide 2-éthylhexanoïque,149-57-5,205-743-6
Monuron,150-68-5,205-766-1
Chlorure de morpholine-4-carbonyle,15159-40-7,239-213-0
Daminozide,1596-84-5,216-485-9
Alachlore (ISO),15972-60-8,240-110-8
"Produit de condensation UVCB de: chlorure de tétrakis-hydroxyméthylphosphonium, urée et de C16-18-suifalkylamine hydrogénée distillée",166242-53-1,422-720-8
Ioxynil et octanoate d'ioxynil (ISO),1689-83-4/3861-47-0,216-881-1/223-375-4
"Bromoxynil (ISO) (3,5-dibromo-4-hydroxybenzonitrile) et heptanoate de bromoxynil (ISO)",1689-84-5/56634-95-8,216-882-7/260-300-4
"Octanoate de 2,6-dibromo-4-cyanophényle",1689-99-2,216-885-3
"5-Chloro-1,3-dihydro-2H-indol-2-one",17630-75-0,412-200-9
Bénomyl,17804-35-2,241-775-7
Chlorothalonil,1897-45-6,217-588-1
"N′-(4-Chloro-o-tolyl)-N,N-diméthylformamidine, monochlorhydrate",19750-95-9,243-269-1
"4,4′-Méthylènebis(2-éthylaniline)",19900-65-3,243-420-1
Valinamide,20108-78-5,402-840-7
[(p-tolyloxy)méthyl]oxiranne,2186-24-5,218-574-8
[(m-tolyloxy)méthyl]oxiranne,2186-25-6,218-575-3
"Oxyde de 2,3-époxypropyle et de o-tolyle",2210-79-9,218-645-3
"[(Tolyloxy)méthyl]oxiranne, oxyde de glycidyle et de tolyle",26447-14-3,247-711-4
Diallate,2303-16-4,218-961-1
"2,4-Dibromobutanoate de benzyle",23085-60-1,420-710-8
Trifluoroiodométhane,2314-97-8,219-014-5
Thiophanate-méthyl,23564-05-08,245-740-7
"Dodécachloropentacyclo[5.2.1.02,6.03,9.05,8]décane (mirex)",2385-85-5,219-196-6
Propyzamide,23950-58-5,245-951-4
Oxyde de butyle et de glycidyle,2426-08-06,219-376-4
"2,3,4-Trichlorobut-1-ène",2431-50-7,219-397-9
Chinométhionate,2439-01-02,219-455-3
"Monohydrate de (-)-(1R,2S)-(1,2-époxypropyl)phosphonate de (R)-α-phényléthylammonium",25383-07-07,418-570-8
"5-Éthoxy-3-trichlorométhyl-1,2,4-thiadiazole (étridiazole - ISO)",2593-15-9,219-991-8
"N-[4-[(2-Hydroxy-5-méthylphényl)azo]phényl]acétamide, CI Disperse Yellow 3",2832-40-8,220-600-8
"1,2,4-Triazole",288-88-0,206-022-9
Aldrine (ISO),309-00-2,206-215-8
Diuron (ISO),330-54-1,206-354-4
Linuron (ISO),330-55-2,206-356-5
Carbonate de nickel,3333-67-3,222-068-2
"3-(4-Isopropylphényl)-1,1-diméthylurée (isoproturon - ISO)",34123-59-6,251-835-4
Iprodione,36734-19-7,253-178-9
"5-(2,4-Dioxo-1,2,3,4-tétrahydropyrimidine)-3-fluoro-2-hydroxyméthyltétrahydrofuran",41107-56-6,415-360-8
Crotonaldéhyde,4170-30-3,224-030-0
N-Éthoxycarbonyl-N-(p-tolylsulfonyl)azanide d'hexahydrocyclopenta[c]pyrrole-1-(1H)-ammonium,,418-350-1
"4,4′-Carbonimidoylbis[N,N-diméthylaniline] et ses sels",492-80-8,207-762-5
DNOC (ISO),534-52-1,208-601-1
Chlorure de p-toluidinium,540-23-8,208-740-8
Sulfate de p-toluidine (1:1),540-25-0,208-741-3
2-(4-tert-Butylphényl)éthanol,5406-86-0,410-020-5
Fenthion,55-38-9,200-231-9
"Chlordane, pur",57-74-9,200-349-0
Hexane-2-one (méthyle butyle cétone),591-78-6,209-731-1
Fénarimol,60168-88-9,262-095-7
Acétamide,60-35-5,200-473-5
"N-Cyclohexyl-N-méthoxy-2,5-diméthyl-3-furamide (furmecyclox - ISO)",60568-05-0,262-302-0
Dieldrine,60-57-1,200-484-5
"4,4′-Isobutyléthylidènediphénol",6807-17-6,401-720-1
Chlordiméforme,6164-98-3,228-200-5
Amitrole,61-82-5,200-521-5
Carbaryl,63-25-2,200-555-0
"Distillats légers (pétrole), hydrocraquage",64741-77-1,265-078-2
Bromure de 1-éthyl-1-méthylmorpholinium,65756-41-4,612-182-00-4
(3-Chlorophényl)-(4-méthoxy-3-nitrophényl) méthanone,66938-41-8,423-290-4
"Combustibles, diesels, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle ils sont produits n'est pas cancérogène",68334-30-5,269-822-7
"Fuel-oil, no 2",68476-30-2,270-671-4
"Fuel-oil, no 4",68476-31-3,270-673-5
Combustibles pour moteur diesel no 2,68476-34-6,270-676-1
"2,2-Dibromo-2-nitroéthanol",69094-18-4,412-380-9
Bromure de 1-éthyl-1-méthylpyrrolidinium,69227-51-6,612-183-00-X
Monocrotophos,6923-22-4,230-042-7
Nickel,7440-02-0,231-111-4
Bromométhane (bromure de méthyle - ISO),74-83-9,200-813-2
Chlorométhane (chlorure de méthyle),74-87-3,200-817-4
Iodométhane (iodure de méthyle),74-88-4,200-819-5
Bromoéthane (bromure d'éthyle),74-96-4,200-825-8
Heptachlore,76-44-8,200-962-3
Hydroxyde de fentine,76-87-9,200-990-6
Sulfate de nickel,7786-81-4,232-104-9
"3,5,5-Triméthylcyclohex-2-énone (isophorone)",78-59-1,201-126-0
"2,3-Ddichloropropène",78-88-6,201-153-8
Fluazifop-P-butyl (ISO),79241-46-6,607-305-00-3
"Acide (S)-2,3-dihydro-1H-indole-2-carboxylique",79815-20-6,410-860-2
Toxaphène,8001-35-2,232-283-3
Chlorhydrate de (4-hydrazinophényl)-N-méthylméthanesulfonamide,81880-96-8,406-090-1
1-Phénylazo-2-naphtol; CI Solvent Yellow 14,0842-07-09,212-668-2
Chlozolinate,84332-86-5,282-714-4
"Alcanes en C10-13, chloro-",85535-84-8,287-476-5
"2,4,6-Trichlorophénol",88-06-2,201-795-9
Chlorure de diéthylcarbamoyle,88-10-8,201-798-5
1-Vinyl-2-pyrrolidone,88-12-0,201-800-4
"Myclobutanil (ISO) (2-p-chlorophényl-2-(1H-1,2,4-triazole-1-ylméthyl)hexanenitrile)",88671-89-0,410-400-0
Acétate de fentine,900-95-8,212-984-0
Biphényle-2-ylamine,90-41-5,201-990-9
Monochlorhydrate-de-trans-4-cyclohexyl-L-proline,90657-55-9,419-160-1
"Diisocyanate de 2-méthyl-m-phénylène (2,6-diisocyanate de toluène)",91-08-7,202-039-0
"Diisocyanate de 4-méthyl-m-phénylène (2,4-diisocyanate de toluène)",584-84-9,209-544-5
Diisocyanate de-m-tolylidène (diisocyanate de toluène),26471-62-5,247-722-4
"Carburéacteurs pour avion, extraction au solvant de charbon, hydrocraquage, hydrogénation",94114-58-6,302-694-3
"Combustibles diesels, extraction au solvant de charbon, hydrocraquage, hydrogénation",94114-59-7,302-695-9
"Poix contenant > 0,005 % p/p de benzo[a]pyrène",61789-60-4,263-072-4
2-Butanone-oxime,96-29-7,202-496-6
"Hydrocarbures en C16-20, résidu de distillation paraffinique, hydrocraquage et déparaffinage au solvant",97675-88-2,307-662-2
"α,α-Dichlorotoluène",98-87-3,202-709-2
"Laines minérales, à l'exception de celles qui sont nommément désignées dans la présente annexe; [Fibres (de silicates) vitreuses artificielles à orientation aléatoire, dont le pourcentage pondéral d'oxydes alcalins et d'oxydes alcalino-terreux (Na2O + K2O + CaO + MgO + BaO) est supérieur à 18 %]",,
"Acétophénone, produits de réaction avec formaldéhyde, cyclohexylamine, méthanol et acide acétique",,406-230-1
Bis(7-acétamido-2-(4-nitro-2-oxidophénylazo)-3-sulfonato-1-naphtolato) chromate(1-) de trisodium,,400-810-8
"Mélange de: 4-allyl-2,6-bis(2,3-époxypropyl)phénol, 4-allyl-6-(3-(6-(3-(6-(3-(4-allyl-2,6-bis(2,3-époxypropyl) phénoxy)2-hydroxypropyl)-4-allyl-2-(2,3-époxypropyl)phénoxy)-2-hydroxypropyl)-4-allyl-2-(2,3-époxypropyl)phénoxy-2-hydroxypropyl-2-(2,3-époxypropyl)phénol, 4-allyl-6-(3-(4-allyl-2,6-bis (2,3-époxypropyl) phénoxy)-2-hydroxypropyl)-2-(2,3-époxypropyl) phénoxy) phénol et 4-allyl-6-(3-(6-(3-(4-allyl-2,6-bis(2,3-époxypropyl) phénoxy)-2-hydroxypropyl)-4-allyl-2-(2,3-époxypropyl) phénoxy) 2-hydroxypropyl)-2-(2,3-époxypropyl) phénol",,417-470-1
"Huile de racine de costus (Saussurea lappa Clarke), en cas d'utilisation comme ingrédient de parfum",8023-88-9,
"7-Ethoxy-4-méthylcoumarine, en cas d'utilisation comme ingrédient de parfum",87-05-8,201-721-5
"Hexahydrocoumarine, en cas d'utilisation comme ingrédient de parfum",700-82-3,211-851-4
"Exsudation de Myroxylon pereirae (Royle) Klotzch (baume du Pérou, brut) en cas d’utilisation comme ingrédient de parfum",8007-00-9,232-352-8
Nitrite d'isobutyle,542-56-3,208-819-7
"Isoprène (stabilisé); (2-méthyl-1,3-butadiène)",78-79-5,201-143-3
1-Bromopropane; bromure de n-propyle,106-94-5,203-445-0
"Chloroprène (stabilisé); (2-chlorobuta-1,3-diène)",126-99-8,204-818-0
"1,2,3-Trichloropropane",96-18-4,202-486-1
Éther diméthylique d'éthylène-glycol (EGDME),110-71-4,203-794-9
Dinocap (ISO),39300-45-3,254-408-0
"Diaminotoluène, produit technique – mélange de [4-méthyl-m-phénylènediamine] (3) et [2-méthyl-m-phénylènediamine] (4) 
 Méthyl-phénylènediamine",25376-45-8,246-910-3
p-Chlorophényltrichlorométhane,5216-25-1,226-009-1
Oxyde de diphényle; dérivé octabromé,32536-52-0,251-087-9
"1,2-bis(2-Méthoxyéthoxy)éthane; éther méthylique du triéthylène-glycol (TEGDME)",112-49-2,203-977-3
Tétrahydrothiopyrane-3-carboxaldéhyde,61571-06-0,407-330-8
"4,4′-bis(Diméthylamino)benzophénone (cétone de Michler)",90-94-8,202-027-5
4-Méthylbenzène-sulfonate de (S)-oxyraneméthanol,70987-78-9,417-210-7
"Ester dipentylique (ramifié et linéaire) de l'acide 1,2-benzène-dicarboxylique [1]",84777-06-0 [1],284-032-2
Phthalate de n-pentyle et d'isopentyle [2],84777-06-0-[2],
Phthalate de di-n-pentyle [3],131-18-0 [3],205-017-9
Phthalate de diisopentyle [4],605-50-5 [4],210-088-4
Phthalate de butyle benzyle (BBP),85-68-7,201-622-7
"Diesters alkyliques en C7-11 ramifiés et linéaires de l'acide 1,2-benzène-dicarboxylique",68515-42-4,271-084-6
"Mélange de: disodium 4-(3-éthoxycarbonyle-4-(5-(3-éthoxycarbonyle-5-hydroxy-1-(4-sulfonatophényle) pyrazol-4-yl)penta-2,4-diénylidène)-4,5-dihydro-5-oxopyrazol-1-yl)benzènesulfonate et trisodium 4-(3-éthoxycarbonyle-4-(5-(3-éthoxycarbonyle-5-oxido-1-(4-sulfonatophényle)pyrazol-4-yl)penta-2,4-diénylidène)-4,5-dihydro-5-oxopyrazol-1-yl)benzènesulfonate",,402-660-9
"Dihydrochlorure de dichlorure de dipyridinium (méhylènebis(4,1-phénylènazo(1-(3-(diméthylamino) propyle)-1,2-dihydro-6-hydroxy-4-méthyle-2-oxopyridine-5,3-diyle)))-1,1′diclorodipridinio de chlorohydrate",,401-500-5
2-[2-Hydroxy-3-(2-chlorophényl) carbamoyl-1-naphthylazo]-7-[2-hydroxy-3-(3-méthylphényl)-carbamoyl-1-naphthylazo]fluorén-9-one,,420-580-2
Azafénidine,68049-83-2,
"2,4,5-Triméthylaniline [1]",137-17-7 [1],205-282-0
"Hydrochlorure de 2,4,5-triméthylaniline [2]",21436-97-5 [2],
"4,4′-Thiodianiline et ses sels",139-65-1,205-370-9
"4,4′-Oxydianiline (p-aminophényl éther) et ses sels",101-80-4,202-977-0
"N,N,N′,N′-Tétraméthyl-4,4'-méthylène dianiline",101-61-1,202-959-2
6-Méthoxy-m-toluidine; (p-Crésidine),120-71-8,204-419-1
"3-Éthyl-2-méthyl-2-(3-méthylbutyl)-1,3-oxazolidine",143860-04-2,421-150-7
"Mélange de: 1,3,5-tris(3-aminométhylphényl)-1,3,5-(1H,3H,5H)-triazine-2,4,6-trione et mélange d'oligomères de 3,5-bis(3-aminométhylphényl)-1-poly[3,5-bis(3-aminométhylphényl)-2,4,6-trioxo-1,3,5-(1H,3H,5H)-triazin-1-yl]-1,3,5-(1H,3H,5H)-triazine-2,4,6-trione",,421-550-1
2-Nitrotoluène,88-72-2,201-853-3
Phosphate de tributyle,126-73-8,204-800-2
Naphthalène,91-20-3,202-049-5
Nonylphénol [1],25154-52-3 [1],246-672-0
"4-Nonylphénol, ramifié [2]",84852-15-3 [2],284-325-5
"1,1,2-Trichloroéthane",79-00-5,201-166-9
Chlorure d'allyle; (3-chloropropène),0107-05-01,203-457-6
"1,4-Dichlorobenzène; (p-dichlorobenzène)",106-46-7,203-400-5
Éther bis(2-chloroéthyle),111-44-4,203-870-1
Phénol,108-95-2,203-632-7
"Bisphénol A (4,4′-isopropylidènediphénol)",80-05-7,201-245-8
"Trioxyméthylène (1,3,5-trioxan)",110-88-3,203-812-5
Propargite (ISO),2312-35-8,219-006-1
1-Chloro-4-nitrobenzène,100-00-5,202-809-6
Molinate (ISO),2212-67-1,218-661-0
Fenpropimorphe (ISO),67564-91-4,266-719-9
Isocyanate de méthyle,624-83-9,210-866-3
"N,N-Diméthylanilinium tetrakis(pentafluorophényle)borate",118612-00-3,422-050-6
"O,O′-(Éthènylméthylsilylène) di[(4-méthylpentan-2-one) oxime]",,421-870-1
"Mélange dans un rapport 2:1 de: 4-(7-hydroxy-2,4,4-triméthyle-2-chromanyle)résorcinol-4-yl-tris(6-diazo-5,6-dihydro-5-oxonaphthalène-1-sulfonate) et 4-(7-hydroxy-2,4,4-triméthyle-2-chromanyle)résorcinolbis(6-diazo-5,6-dihydro-5-oxonaphthalène-1-sulfonate)",140698-96-0,414-770-4
